,,,,,,
,Alabam,Ala.,AL,,,
,Alask,Alaska,AK,,,
,American Samo, ,AS,,,
,Arizon,Ariz.,AZ,,,
,Arkansa,Ark.,AR,,,
,Californi,Calif.,CA,,,
,Colorad,Colo.,CO,,,
,Connecticu,Conn.,CT,,,
,Delawar,Del.,DE,,,
,Dist. of Columbia,D.C.,DC,,,
,Florid,Fla.,FL,,,
,Georgi,Ga.,GA,,,
,Gua,Guam,GU,,,
,Hawai,Hawaii,HI,,,
,Idah,Idaho,ID,,,
,Illinoi,Ill.,IL,,,
,Indian,Ind.,IN,,,
,Iow,Iowa,IA,,,
,Kansa,Kans.,KS,,,
,Kentuck,Ky.,KY,,,
,Louisian,La.,LA,,,
,Main,Maine,ME,,,
,Marylan,Md.,MD,,,
,Marshall Islands, ,MH,,,
,Massachusett,Mass.,MA,,,
,Michiga,Mich.,MI,,,
,Micronesia, ,FM,,,
,Minnesot,Minn.,MN,,,
,Mississipp,Miss.,MS,,,
,Missour,Mo.,MO,,,
,Montan,Mont.,MT,,,
,Nebrask,Nebr.,NE,,,
,Nevad,Nev.,NV,,,
,New Hampshir,N.H.,NH,,,
,New Jerse,N.J.,NJ,,,
,New Mexic,N.M.,NM,,,
,New Yor,N.Y.,NY,,,
,North Carolin,N.C.,NC,,,
,North Dakot,N.D.,ND,,,
,Northern Marianas, ,MP,,,
,Ohi,Ohio,OH,,,
,Oklahom,Okla.,OK,,,
,Orego,Ore.,OR,,,
,Palau, ,PW,,,
,Pennsylvani,Pa.,PA,,,
,Puerto Ric,P.R.,PR,,,
,Rhode Islan,R.I.,RI,,,
,South Carolin,S.C.,SC,,,
,South Dakot,S.D.,SD,,,
,Tennesse,Tenn.,TN,,,
,Texa,Tex.,TX,,,
,Uta,Utah,UT,,,
,Vermon,Vt.,VT,,,
,Virgini,Va.,VA,,,
,Virgin Islands,V.I.,VI,,,
,Washingto,Wash.,WA,,,
,West Virgini,W.Va.,WV,,,
,Wisconsi,Wis.,WI,,,
,Wyomin,Wyo.,WY,,,